t,SC_ECEF_x_km,SC_ECEF_y_km,SC_ECEF_z_km,elevation_degree,illuminated_boolean,
2021.04.17 08:28:13,4100.42,-1464.97,5171.5,39.7148,30,
2021.04.17 08:28:14,4101.49,-1457.47,5172.77,40.2156,30,
2021.04.17 08:28:15,4102.56,-1449.97,5174.03,40.725,30,
2021.04.17 08:28:16,4103.62,-1442.46,5175.29,41.2432,30,
2021.04.17 08:28:17,4104.68,-1434.96,5176.54,41.7703,30,
2021.04.17 08:28:18,4105.73,-1427.45,5177.78,42.3067,30,
2021.04.17 08:28:19,4106.77,-1419.94,5179.01,42.8524,30,
2021.04.17 08:28:20,4107.81,-1412.43,5180.24,43.4075,30,
2021.04.17 08:28:21,4108.85,-1404.92,5181.47,43.9724,30,
2021.04.17 08:28:22,4109.88,-1397.4,5182.68,44.5471,30,
2021.04.17 08:28:23,4110.91,-1389.89,5183.89,45.1319,30,
2021.04.17 08:28:24,4111.93,-1382.37,5185.09,45.7268,30,
2021.04.17 08:28:25,4112.94,-1374.85,5186.29,46.3322,30,
2021.04.17 08:28:26,4113.95,-1367.33,5187.48,46.948,30,
2021.04.17 08:28:27,4114.95,-1359.8,5188.66,47.5746,30,
2021.04.17 08:28:28,4115.95,-1352.28,5189.84,48.2121,30,
2021.04.17 08:28:29,4116.95,-1344.75,5191.01,48.8605,30,
2021.04.17 08:28:30,4117.93,-1337.22,5192.17,49.5202,30,
2021.04.17 08:28:31,4118.92,-1329.69,5193.32,50.1912,30,
2021.04.17 08:28:32,4119.89,-1322.16,5194.47,50.8737,30,
2021.04.17 08:28:33,4120.87,-1314.63,5195.62,51.5678,30,
2021.04.17 08:28:34,4121.83,-1307.09,5196.75,52.2736,30,
2021.04.17 08:28:35,4122.79,-1299.55,5197.88,52.9913,30,
2021.04.17 08:28:36,4123.75,-1292.02,5199,53.7209,30,
2021.04.17 08:28:37,4124.7,-1284.48,5200.12,54.4626,30,
2021.04.17 08:28:38,4125.65,-1276.93,5201.23,55.2165,30,
2021.04.17 08:28:39,4126.59,-1269.39,5202.33,55.9825,30,
2021.04.17 08:28:40,4127.52,-1261.84,5203.42,56.7609,30,
2021.04.17 08:28:41,4128.45,-1254.3,5204.51,57.5515,30,
2021.04.17 08:28:42,4129.38,-1246.75,5205.6,58.3544,30,
2021.04.17 08:28:43,4130.3,-1239.2,5206.67,59.1697,30,
2021.04.17 08:28:44,4131.21,-1231.65,5207.74,59.9973,30,
2021.04.17 08:28:45,4132.12,-1224.09,5208.8,60.8372,30,
